,city,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,40.33,75.0,4,3.13,GL,1627007456
1,isla mujeres,21.2311,-86.731,84.25,85.0,0,8.39,MX,1627007456
2,puerto ayora,-0.7393,-90.3518,72.55,87.0,97,4,EC,1627007457
3,hasaki,35.7333,140.8333,90.28,67.0,80,8.72,JP,1627007457
4,provideniya,64.3833,-173.3,46.51,76.0,75,11.18,RU,1627007457
5,tuktoyaktuk,69.4541,-133.0374,51.8,100.0,90,17.27,CA,1627007458
6,ushuaia,-54.8,-68.3,38.86,70.0,40,3.44,AR,1627007453
7,gambela,8.25,34.5833,68.11,85.0,78,2.98,ET,1627007458
8,port alfred,-33.5906,26.891,51.66,70.0,85,18.92,ZA,1627007458
9,linxia,35.6003,103.2064,80.04,48.0,91,3.31,CN,1627007458
10,sulphur,30.2366,-93.3774,84.18,84.0,1,3.44,US,1627007459
11,vaini,-21.2,-175.2,80.76,78.0,20,6.91,TO,1627007459
12,bonavista,48.6499,-53.1147,52.12,94.0,97,8.88,CA,1627007460
13,albany,42.6001,-73.9662,68.65,68.0,100,3,US,1627007222
14,rikitea,-23.1203,-134.9692,73.74,74.0,4,19.84,PF,1627007460
15,nemuro,43.3236,145.575,79.23,90.0,63,14.16,JP,1627007460
16,iqaluit,63.7506,-68.5145,51.53,81.0,90,15.01,CA,1627007386
17,bilma,18.6853,12.9164,83.44,49.0,100,12.5,NE,1627007461
18,cherskiy,68.75,161.3,64.35,61.0,100,6.31,RU,1627007461
19,mezen,65.8522,44.24,46.15,92.0,100,5.95,RU,1627007461
20,hobart,-42.8794,147.3294,58.23,55.0,75,3,AU,1627007458
21,buala,-8.145,159.5921,85.05,69.0,18,6.76,SB,1627007462
22,narsaq,60.9167,-46.05,46.62,96.0,100,5.84,GL,1627007462
23,kutum,14.2,24.6667,70.39,75.0,71,7.92,SD,1627007463
24,butaritari,3.0707,172.7902,83.01,77.0,93,14.94,KI,1627007463
25,busselton,-33.65,115.3333,57.04,72.0,97,21.39,AU,1627007463
26,iglesias,39.3114,8.535,70.63,36.0,0,2.39,IT,1627007464
27,taupo,-38.6833,176.0833,56.25,68.0,73,0.47,NZ,1627007464
28,erenhot,43.6475,111.9767,86.56,29.0,5,9.31,CN,1627007464
29,ginda,30.6945,78.4932,69.96,79.0,97,1.99,IN,1627007464
30,yellowknife,62.456,-114.3525,63.12,94.0,90,5.01,CA,1627007465
31,russell,32.3502,-85.1999,80.2,90.0,1,5.75,US,1627007465
32,atuona,-9.8,-139.0333,77.23,75.0,96,11.21,PF,1627007465
33,port elizabeth,-33.918,25.5701,48.49,87.0,90,12.66,ZA,1627007466
34,jamestown,42.097,-79.2353,64.04,59.0,20,3.44,US,1627007225
35,san quintin,30.4833,-115.95,69.91,84.0,2,7.67,MX,1627007466
36,zhezkazgan,47.8043,67.7144,79.63,36.0,0,10.45,KZ,1627007467
37,tautira,-17.7333,-149.15,84.22,69.0,1,10.85,PF,1627007467
38,santa marta,11.2408,-74.199,84.97,73.0,77,21,CO,1627007467
39,nuuk,64.1835,-51.7216,40.87,100.0,75,9.22,GL,1627007467
40,ribeira grande,38.5167,-28.7,68.34,80.0,36,7.72,PT,1627007468
41,bethel,41.3712,-73.414,71.96,83.0,1,4.61,US,1627007468
42,dunedin,-45.8742,170.5036,51.91,54.0,9,4.38,NZ,1627007194
43,kapaa,22.0752,-159.319,84.18,80.0,90,3,US,1627007469
44,sabang,5.8933,95.3214,83.73,76.0,100,23.02,ID,1627007469
45,amapa,1,-52,71.28,99.0,87,2.01,BR,1627007469
46,padang,-0.9492,100.3543,86.05,67.0,55,2.73,ID,1627007408
47,canakkale,40.0833,26.8333,68.61,83.0,0,4.88,TR,1627007470
48,papetoai,-17.4961,-149.8729,83.79,64.0,13,12.71,PF,1627007470
49,tura,25.5198,90.2201,83.7,75.0,33,4.18,IN,1627007470
50,yuanping,38.7153,112.7575,75.02,67.0,100,4.56,CN,1627007470
51,pochutla,15.7432,-96.4661,79.65,88.0,57,4.29,MX,1627007471
52,kokuy,52.2037,117.5529,70.68,89.0,97,5.35,RU,1627007471
53,tilichiki,60.4667,166.1,63.73,57.0,83,8.12,RU,1627007472
54,bluff,-46.6,168.3333,52.81,66.0,89,9.82,NZ,1627007472
55,ughelli,5.4899,6.0074,74.34,88.0,100,2.77,NG,1627007472
56,hithadhoo,-0.6,73.0833,81.37,76.0,100,14,MV,1627007472
57,san patricio,28.017,-97.5169,84.83,79.0,71,12.24,US,1627007473
58,tuatapere,-46.1333,167.6833,52.83,67.0,28,4.99,NZ,1627007473
59,kirovskiy,45.0917,133.5136,92.52,50.0,9,2.71,RU,1627007473
60,broken hill,-31.95,141.4333,46.11,87.0,90,14.97,AU,1627007474
61,bredasdorp,-34.5322,20.0403,40.32,93.0,99,3.44,ZA,1627007474
62,avarua,-21.2078,-159.775,80.65,74.0,40,12.66,CK,1627007474
63,hofn,64.2539,-15.2082,53.38,97.0,100,2.77,IS,1627007474
64,arraial do cabo,-22.9661,-42.0278,68.36,74.0,17,10.45,BR,1627007475
65,sao jose da coroa grande,-8.8978,-35.1478,73.58,84.0,28,11.01,BR,1627007176
66,hilo,19.7297,-155.09,77.25,90.0,90,8.05,US,1627007475
67,tiksi,71.6872,128.8694,47.62,74.0,100,10.38,RU,1627007475
68,beloha,-25.1667,45.05,63.97,87.0,5,4.97,MG,1627007476
69,cape town,-33.9258,18.4232,44.11,85.0,0,1.01,ZA,1627007476
70,townsville,-19.25,146.8,77.88,53.0,20,11.5,AU,1627007476
71,kamaishi,39.2667,141.8833,81.55,87.0,89,7.43,JP,1627007476
72,lebu,-37.6167,-73.65,50.79,85.0,100,8.14,CL,1627007477
73,mataura,-46.1927,168.8643,52.48,72.0,50,3.06,NZ,1627007477
74,saskylakh,71.9167,114.0833,67.1,63.0,66,9.78,RU,1627007478
75,chuy,-33.6971,-53.4616,49.66,79.0,91,6.62,UY,1627007478
76,victoria,22.2855,114.1577,91.26,79.0,47,7,HK,1627007476
77,severo-kurilsk,50.6789,156.125,57.16,86.0,53,4.29,RU,1627007478
78,arroyo,41.6096,-4.7969,72.59,28.0,100,6.15,ES,1627007479
79,pevek,69.7008,170.3133,43.92,67.0,6,7.36,RU,1627007479
80,punta arenas,-53.15,-70.9167,35.71,87.0,20,13.8,CL,1627007479
81,hermanus,-34.4187,19.2345,42.91,74.0,59,10.02,ZA,1627007479
82,clyde river,70.4692,-68.5914,35.83,100.0,90,8.05,CA,1627007480
83,emerald,-23.5333,148.1667,75.34,46.0,17,19.57,AU,1627007480
84,ludvika,60.1496,15.1878,58.03,76.0,0,4.65,SE,1627007480
85,alofi,-19.0595,-169.9187,82.29,74.0,75,8.05,NU,1627007481
86,banda aceh,5.5577,95.3222,85.41,67.0,100,15.19,ID,1627007481
87,fort nelson,58.8053,-122.7002,58.59,100.0,90,5.75,CA,1627007411
88,talnakh,69.4865,88.3972,56.57,72.0,100,5.01,RU,1627007481
89,fairbanks,64.8378,-147.7164,82.4,41.0,1,11.5,US,1627007482
90,thompson,55.7435,-97.8558,78.96,61.0,75,5.75,CA,1627007482
91,ancud,-41.8697,-73.8203,46.22,82.0,100,7.02,CL,1627007482
92,lagoa,39.05,-27.9833,67.66,78.0,29,11.34,PT,1627007318
93,snasa,64.2457,12.3778,50.25,98.0,100,5.5,NO,1627007483
94,adrar,20.5022,-10.0711,85.66,17.0,5,9.69,MR,1627007483
95,muisne,0.6,-80.0333,76.26,81.0,100,9.75,EC,1627007483
96,victor harbor,-35.5667,138.6167,56.46,86.0,98,7.38,AU,1627007484
97,santa rosa,14.3122,121.1114,83.1,83.0,100,13.98,PH,1627007198
98,saint-philippe,-21.3585,55.7679,65.79,76.0,43,12.66,RE,1627007484
99,tigzirt,36.8886,4.1198,80.74,46.0,0,3.15,DZ,1627007484
100,aquiraz,-3.9014,-38.3911,83.21,64.0,7,17.13,BR,1627007485
101,katsuura,35.1333,140.3,89.71,68.0,15,7.94,JP,1627007485
102,chicama,-7.8447,-79.1469,63.14,77.0,46,4.05,PE,1627007485
103,upernavik,72.7868,-56.1549,40.68,94.0,100,1.16,GL,1627007486
104,new norfolk,-42.7826,147.0587,57.88,56.0,43,4,AU,1627007486
105,uchiza,-8.4592,-76.4633,69.3,81.0,30,2.91,PE,1627007486
106,sawakin,19.1059,37.3321,89.46,56.0,100,13.09,SD,1627007486
107,sao filipe,14.8961,-24.4956,73.99,85.0,10,8.61,CV,1627007487
108,garowe,8.4054,48.4845,74.79,66.0,59,27.83,SO,1627007487
109,rocha,-34.4833,-54.3333,48.96,78.0,70,7.74,UY,1627007487
110,union,40.6334,-74.2663,77.16,63.0,75,5.75,US,1627007488
111,fortuna,40.5982,-124.1573,61.86,74.0,1,12.66,US,1627007488
112,evensk,61.95,159.2333,52.68,90.0,100,5.03,RU,1627007488
113,kindu,-2.95,25.95,69.01,47.0,16,3.11,CD,1627007488
114,chokurdakh,70.6333,147.9167,56.16,44.0,2,8.7,RU,1627007489
115,khatanga,71.9667,102.5,68.76,52.0,100,5.59,RU,1627007489
116,turan,16.0678,108.2208,93.18,49.0,75,12.66,VN,1627007489
117,gat,31.61,34.7642,76.41,100.0,74,6.31,IL,1627007490
118,along,28.1667,94.7667,89.87,61.0,9,1.39,IN,1627007490
119,mount darwin,-16.7725,31.5838,58.17,50.0,43,4.18,ZW,1627007490
120,phangnga,8.4509,98.5298,87.82,74.0,100,9.24,TH,1627007491
121,bambous virieux,-20.3428,57.7575,70.05,78.0,20,11.5,MU,1627007491
122,svetlaya,46.5389,138.3297,76.91,72.0,88,7.94,RU,1627007491
123,okhotsk,59.3833,143.3,58.8,87.0,100,5.26,RU,1627007492
124,shimoda,34.6667,138.95,88.11,70.0,32,6.6,JP,1627007492
125,voi,-3.3945,38.563,67.28,81.0,75,9.82,KE,1627007492
126,grindavik,63.8424,-22.4338,55.9,100.0,90,17.27,IS,1627007492
127,kaitangata,-46.2817,169.8464,55.92,50.0,16,4.27,NZ,1627007493
128,kavaratti,10.5669,72.642,81.91,82.0,100,25.39,IN,1627007493
129,airai,-8.9266,125.4092,76.12,23.0,7,3.49,TL,1627007493
130,kasongo-lunda,-6.4667,16.8167,64.11,34.0,68,1.74,CD,1627007494
131,pontes e lacerda,-15.2261,-59.3353,70.07,39.0,0,3.22,BR,1627007494
132,kayalpattinam,8.5667,78.1167,82.71,69.0,75,9.22,IN,1627007494
133,vila velha,-20.3297,-40.2925,64.35,94.0,20,2.3,BR,1627007469
134,kruisfontein,-34.0033,24.7314,43.88,77.0,100,7.09,ZA,1627007495
135,harper,4.375,-7.7169,75.47,85.0,100,11.83,LR,1627007495
136,kieta,-6.2167,155.6333,83.28,77.0,37,6.91,PG,1627007496
137,djambala,-2.5447,14.7533,67.33,65.0,66,5.61,CG,1627007496
138,castro,-24.7911,-50.0119,46.49,69.0,0,3.4,BR,1627007496
139,ponta do sol,32.6667,-17.1,72.72,81.0,10,7.05,PT,1627007496
140,nikolskoye,59.7035,30.7861,60.69,82.0,97,5.53,RU,1627007497
141,bend,44.0582,-121.3153,81.68,22.0,1,8.99,US,1627006654
142,tyukhtet,56.5389,89.3011,73.29,48.0,0,10.45,RU,1627007497
143,carnarvon,-24.8667,113.6333,68.07,67.0,96,9.22,AU,1627007497
144,cayenne,4.9333,-52.3333,79.09,86.0,40,1.14,GF,1627007498
