,city,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
0,kapaa,,,298.33,84,75,0.45,US,1626967293,22.0752,-159.319
1,sao filipe,,,297.61,86,31,3.71,CV,1626967293,14.8961,-24.4956
2,ubeda,,,310.01,9,0,5.41,ES,1626967294,38.0133,-3.3705
3,albany,,,297.92,64,95,0.89,US,1626967294,42.6001,-73.9662
4,acari,,,294.3,62,55,2.43,PE,1626967294,-15.4311,-74.6158
5,torbay,,,286.64,96,90,5.14,CA,1626967295,47.6666,-52.7314
6,sault sainte marie,,,292.53,72,90,1.54,CA,1626967262,46.5168,-84.3333
7,simbahan,,,301.5,77,97,6.11,PH,1626967295,6.3032,120.5836
8,punta arenas,,,275.21,93,75,3.6,CL,1626967103,-53.15,-70.9167
9,paucartambo,,,,,,,,,,
10,kavieng,,,300.71,79,46,4.82,PG,1626967295,-2.5744,150.7967
11,dikson,,,284.45,91,100,14.29,RU,1626967296,73.5069,80.5464
12,attawapiskat,,,,,,,,,,
13,hilo,,,296,90,90,0,US,1626967113,19.7297,-155.09
14,llanes,,,296.89,72,11,1.65,ES,1626967296,43.4198,-4.7549
15,busselton,,,285.98,73,100,6.76,AU,1626967118,-33.65,115.3333
16,nikolskoye,,,293.37,41,96,4.9,RU,1626967297,59.7035,30.7861
17,mataura,,,278.42,97,9,0.93,NZ,1626967297,-46.1927,168.8643
18,barrow,,,275.16,93,90,7.2,US,1626967297,71.2906,-156.7887
19,atuona,,,298.14,76,100,5.86,PF,1626967297,-9.8,-139.0333
20,vostok,,,293.63,86,9,1.73,RU,1626967298,46.4856,135.8833
21,new norfolk,,,284.22,61,100,2.25,AU,1626967298,-42.7826,147.0587
22,sohag,,,312.13,19,0,8.15,EG,1626967298,26.557,31.6948
23,rikitea,,,295.32,72,12,5.27,PF,1626967282,-23.1203,-134.9692
24,sambalpur,,,301.3,81,100,0.54,IN,1626967299,21.45,83.9667
25,wahran,,,,,,,,,,
26,butaritari,,,300.78,79,45,6.05,KI,1626967299,3.0707,172.7902
27,la ronge,,,296.29,73,55,4.12,CA,1626967299,55.1001,-105.2842
28,moundsville,,,296.58,72,51,0.45,US,1626967300,39.9203,-80.7431
29,borogontsy,,,288.89,80,0,0.34,RU,1626967300,62.6683,131.1683
30,saint-philippe,,,293.92,74,51,5.57,RE,1626967300,-21.3585,55.7679
31,komsomolskiy,,,306.55,22,7,3.09,UZ,1626967300,40.4272,71.7189
32,ponta do sol,,,301.88,65,0,2.67,PT,1626967301,32.6667,-17.1
33,salinopolis,,,302.13,69,46,6.27,BR,1626967301,-0.6136,-47.3561
34,berbera,,,304.97,56,28,1.99,SO,1626967301,10.4396,45.0143
35,babanusah,,,,,,,,,,
36,belyy yar,,,293.09,73,0,2,RU,1626967302,53.6039,91.3903
37,marcona,,,,,,,,,,
38,mys shmidta,,,,,,,,,,
39,fortuna,,,287.14,90,90,0.45,US,1626967302,40.5982,-124.1573
40,sibut,,,301.13,67,100,3.05,CF,1626967302,5.718,19.0739
41,port elizabeth,,,283.31,81,90,4.63,ZA,1626967186,-33.918,25.5701
42,hasaki,,,298.31,86,97,2.77,JP,1626967303,35.7333,140.8333
43,hithadhoo,,,300.38,78,100,5.71,MV,1626967303,-0.6,73.0833
44,arlit,,,314.18,19,40,2.05,NE,1626967303,18.7369,7.3853
45,chara,,,290.45,91,100,0.96,RU,1626967303,56.9064,118.2631
46,ushuaia,,,277.94,87,75,2.06,AR,1626967224,-54.8,-68.3
47,upernavik,,,277.9,95,100,2.58,GL,1626967304,72.7868,-56.1549
48,illoqqortoormiut,,,,,,,,,,
49,vaini,,,294.24,94,40,2.06,TO,1626967290,-21.2,-175.2
50,kirakira,,,299.47,87,100,3.43,SB,1626967304,-10.4544,161.9205
51,tsihombe,,,,,,,,,,
52,necochea,,,290.39,49,93,6.37,AR,1626967305,-38.5473,-58.7368
53,dzhusaly,,,,,,,,,,
54,taguatinga,,,304.81,28,1,4.95,BR,1626967305,-12.3857,-46.5711
55,puerto ayora,,,297.13,90,100,3.13,EC,1626967305,-0.7393,-90.3518
56,port alfred,,,284.24,73,100,12.03,ZA,1626967306,-33.5906,26.891
57,taolanaro,,,,,,,,,,
58,udachnyy,,,288.34,67,41,1.77,RU,1626967178,66.4167,112.4
59,georgetown,,,303.65,66,20,1.03,MY,1626967143,5.4112,100.3354
60,dunedin,,,278.6,69,0,0.89,NZ,1626967306,-45.8742,170.5036
61,mount isa,,,286.02,50,100,0,AU,1626967306,-20.7333,139.5
62,chokurdakh,,,276.6,84,63,3.53,RU,1626967307,70.6333,147.9167
63,atar,,,311.18,39,34,5.14,MR,1626967307,20.5169,-13.0499
64,ancud,,,283.89,94,100,6.53,CL,1626967307,-41.8697,-73.8203
65,iracoubo,,,302.97,67,32,3.45,GF,1626967307,5.4802,-53.2011
66,ongandjera,,,298.83,12,0,5.45,NA,1626967308,-17.8833,15.0667
67,ixtapa,,,303.83,74,40,0,MX,1626967287,20.7,-105.2
68,bereda,,,306.71,33,45,1.49,ES,1626967308,43.2686,-7.5406
69,sakakah,,,313.91,13,0,7.36,SA,1626967308,29.9697,40.2064
70,lebu,,,284.43,77,99,1.4,CL,1626967309,-37.6167,-73.65
71,warqla,,,,,,,,,,
72,hamilton,,,298.04,60,1,0.45,US,1626966772,39.1834,-84.5333
73,norman wells,,,290.17,82,75,0,CA,1626967309,65.282,-126.8329
74,guanica,,,305.51,68,8,6.26,PR,1626967309,17.9716,-66.908
75,bluff,,,278.6,81,69,5.66,NZ,1626967310,-46.6,168.3333
76,jiazi,,,300.79,78,95,4.93,CN,1626967310,22.8779,116.067
77,srednekolymsk,,,285.56,74,55,2.89,RU,1626967310,67.45,153.6833
78,yarada,,,300.33,83,75,3.09,IN,1626967311,17.65,83.2667
79,tecpatan,,,297.6,75,21,0.95,MX,1626967311,17.1333,-93.3
80,alofi,,,293.09,100,1,0.51,NU,1626967311,-19.0595,-169.9187
81,qaanaaq,,,279.68,69,72,3.03,GL,1626967311,77.484,-69.3632
82,namatanai,,,298.94,82,79,3.4,PG,1626967312,-3.6667,152.4333
83,zharkent,,,295.9,55,97,4.75,KZ,1626967312,44.1628,80.0
84,hurricane,,,302.78,58,100,2.05,US,1626967312,37.1753,-113.2899
85,payo,,,296.77,94,86,1.38,ID,1626967313,-3.7508,103.6372
86,lompoc,,,294.87,83,90,2.57,US,1626967313,34.6391,-120.4579
87,faanui,,,298.89,74,7,6.44,PF,1626967313,-16.4833,-151.75
88,antalaha,,,294.82,79,0,5.2,MG,1626967313,-14.9003,50.2788
89,bengkulu,,,298.05,83,27,1.64,ID,1626967314,-3.8004,102.2655
90,dibaya,,,,,,,,,,
91,tonantins,,,302.95,50,55,1.98,BR,1626967314,-2.8731,-67.8022
92,avarua,,,293.18,100,16,0.51,CK,1626967314,-21.2078,-159.775
93,vestmannaeyjar,,,285.7,94,90,8.75,IS,1626967315,63.4427,-20.2734
94,dubbo,,,280.22,81,90,2.06,AU,1626967315,-32.25,148.6167
95,celestun,,,303.13,63,1,4.99,MX,1626967315,20.8667,-90.4
96,saint george,,,305.01,47,1,0.45,US,1626967257,37.1041,-113.5841
97,bambous virieux,,,295.29,68,40,5.66,MU,1626967316,-20.3428,57.7575
98,cape town,,,285.99,66,40,0.89,ZA,1626967015,-33.9258,18.4232
99,lavrentiya,,,275.99,94,100,2.26,RU,1626967316,65.5833,-171.0
100,laguna,,,300.62,68,1,1.34,US,1626967044,38.421,-121.4238
101,meulaboh,,,299.61,80,100,0.9,ID,1626967316,4.1363,96.1285
102,hobart,,,284.41,60,90,0.89,AU,1626967317,-42.8794,147.3294
103,shingu,,,298.66,94,45,2.56,JP,1626967317,33.7333,135.9833
104,narsaq,,,285.27,60,34,1.98,GL,1626967317,60.9167,-46.05
105,bullhead city,,,309.1,50,75,2.57,US,1626967062,35.1478,-114.5683
106,paamiut,,,279.26,92,98,6.89,GL,1626967317,61.994,-49.6678
107,mahebourg,,,295.31,68,40,5.66,MU,1626967318,-20.4081,57.7
108,chuy,,,287.03,62,16,3.42,UY,1626967318,-33.6971,-53.4616
109,geraldton,,,284.38,93,3,3.09,AU,1626967159,-28.7667,114.6
110,mar del plata,,,285.86,59,0,7.15,AR,1626967148,-38.0023,-57.5575
111,hohhot,,,296.31,68,0,2,CN,1626967318,40.8106,111.6522
112,nhamunda,,,305.87,50,49,2.3,BR,1626967319,-2.1861,-56.7131
113,terme,,,297.11,70,88,4.08,TR,1626967319,41.2092,36.9739
114,bonoua,,,300.94,64,85,4.27,CI,1626967319,5.2741,-3.595
